image,true_count,predicted_count,error
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_left__0002445,1,1,0
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_right__0000150,12,15,3
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_right__0000735,5,2,-3
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_right__0000915,8,3,-5
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_right__0002189,9,6,-3
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_right__0002698,9,8,-1
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_right__0004604,10,10,0
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_right__0005293,2,2,0
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_right__0005802,9,3,-6
highquality_16k__BLR-2018-05-11_14-09-20_sideRight_left__0000420,22,21,-1
highquality_16k__BLR-2018-05-11_14-09-20_sideRight_left__0000600,3,3,0
highquality_16k__BLR-2018-05-11_14-09-20_sideRight_left__0002310,14,10,-4
highquality_16k__BLR-2018-05-11_14-09-20_sideRight_right__0000555,4,4,0
highquality_16k__BLR-2018-05-11_14-09-20_sideRight_right__0001905,7,4,-3
highquality_16k__BLR-2018-05-11_14-09-20_sideRight_right__0005550,4,3,-1
highquality_16k__BLR-2018-05-23_13-31-36__2018-05-23_13-32-18-467934_leftImg8bit,17,13,-4
highquality_16k__BLR-2018-05-23_13-31-36__2018-05-23_13-34-1-062689_leftImg8bit,17,19,2
highquality_16k__BLR-2018-05-31_10-59-49__2018-05-31_11-1-54-450939_leftImg8bit,24,21,-3
highquality_16k__BLR-2018-05-31_10-59-49__2018-05-31_11-6-56-827487_leftImg8bit,1,4,3
highquality_16k__BLR-2018-06-05_08-50-18__0001987,10,7,-3
highquality_16k__BLR-2018-06-05_08-50-18__0007450,5,5,0
highquality_16k__BLR-2018-06-06_16-00-01__0002929,12,9,-3
highquality_16k__BLR-2018-06-06_16-00-01__0007112,22,27,5
highquality_16k__BLR-2018-06-06_16-20-12__0005477,28,17,-11
highquality_16k__BLR-2018-06-06_16-20-12__0007727,32,16,-16
highquality_16k__BLR-2018-06-06_16-30-25__0006623,25,19,-6
highquality_16k__BLR-2018-06-06_16-30-25__0008690,19,13,-6
highquality_16k__BLR-2018-06-06_16-41-17__0002121,15,12,-3
highquality_16k__BLR-2018-06-06_16-41-17__0006117,43,27,-16
highquality_16k__BLR-2018-06-06_16-41-17__0008067,13,10,-3
highquality_16k__BLR-2018-06-19-06-21-44_part_11__0001424,16,12,-4
highquality_16k__BLR-2018-06-19-06-21-44_part_11__0001649,19,17,-2
highquality_16k__BLR-2018-06-19-06-21-44_part_14__0001362,14,10,-4
highquality_16k__BLR-2018-06-19-06-21-44_part_17__0000010,30,19,-11
highquality_16k__BLR-2018-06-19-06-21-44_part_18__0000074,14,14,0
highquality_16k__BLR-2018-06-19-06-21-44_part_18__0000374,17,14,-3
highquality_16k__BLR-2018-06-19-06-21-44_part_19__0001167,12,13,1
highquality_16k__BLR-2018-06-19-06-21-44_part_19__0001542,13,10,-3
highquality_16k__BLR-2018-06-19-06-21-44_part_22__0001628,7,6,-1
highquality_16k__BLR-2018-06-19-06-21-44_part_23__0000262,11,7,-4
highquality_16k__BLR-2018-06-19-06-21-44_part_24__0000606,18,17,-1
highquality_16k__BLR-2018-06-19-06-21-44_part_24__0000659,18,15,-3
highquality_16k__BLR-2018-06-19-06-21-44_part_26__0000524,26,15,-11
highquality_16k__BLR-2018-06-19-06-21-44_part_26__0001501,26,15,-11
highquality_16k__BLR-2018-06-19-06-21-44_part_26__0001601,22,13,-9
highquality_16k__BLR-2018-06-19-06-21-44_part_27__0000824,19,13,-6
highquality_16k__BLR-2018-06-19-06-21-44_part_28__0000524,4,4,0
highquality_16k__BLR-2018-06-19-06-21-44_part_28__0001595,16,9,-7
highquality_16k__BLR-2018-06-19-06-21-44_part_2__0001396,16,19,3
highquality_16k__BLR-2018-06-19-06-21-44_part_31__0000211,34,33,-1
highquality_16k__BLR-2018-06-19-06-21-44_part_36__0000911,15,11,-4
highquality_16k__BLR-2018-06-19-06-21-44_part_38__0000445,21,23,2
highquality_16k__BLR-2018-06-19-06-21-44_part_48__0000214,26,12,-14
highquality_16k__BLR-2018-06-19-06-21-44_part_49__0001754,27,21,-6
highquality_16k__BLR-2018-06-19-06-21-44_part_52__0000899,10,8,-2
highquality_16k__BLR-2018-06-19-06-21-44_part_52__0000974,12,6,-6
highquality_16k__BLR-2018-06-19-06-21-44_part_54__0000524,30,25,-5
highquality_16k__BLR-2018-06-19-06-21-44_part_55__0000524,25,19,-6
highquality_16k__BLR-2018-06-19-06-21-44_part_56__0001059,44,29,-15
highquality_16k__BLR-2018-06-19-06-21-44_part_57__0000149,27,21,-6
highquality_16k__BLR-2018-06-19-06-21-44_part_57__0000374,32,19,-13
highquality_16k__BLR-2018-06-19-06-21-44_part_60__0001433,26,22,-4
highquality_16k__BLR-2018-06-19-06-21-44_part_60__0001486,25,23,-2
highquality_16k__BLR-2018-06-19-06-21-44_part_7__0000113,15,13,-2
highquality_16k__BLR-2018-06-20-05-53-14_part_2__0001122,34,28,-6
highquality_16k__BLR-2018-06-20-05-53-14_part_5__0000906,40,22,-18
highquality_16k__BLR-2018-06-20-07-01-47_part_11__0001174,18,12,-6
highquality_16k__BLR-2018-06-20-07-01-47_part_12__0000149,17,9,-8
highquality_16k__BLR-2018-06-20-07-01-47_part_12__0000974,27,17,-10
highquality_16k__BLR-2018-06-20-07-01-47_part_14__0000074,14,8,-6
highquality_16k__BLR-2018-06-20-07-01-47_part_14__0000374,13,9,-4
highquality_16k__BLR-2018-06-20-07-01-47_part_1__0000119,8,6,-2
highquality_16k__BLR-2018-06-20-07-01-47_part_1__0000431,9,5,-4
highquality_16k__BLR-2018-06-20-07-01-47_part_26__0000166,15,11,-4
highquality_16k__BLR-2018-06-20-07-01-47_part_26__0000170,15,12,-3
highquality_16k__BLR-2018-06-20-07-01-47_part_26__0001566,18,15,-3
highquality_16k__BLR-2018-06-20-07-01-47_part_27__0001553,10,7,-3
highquality_16k__BLR-2018-06-20-07-01-47_part_2__0001079,6,5,-1
highquality_16k__BLR-2018-06-20-07-01-47_part_2__0001621,4,3,-1
highquality_16k__BLR-2018-06-20-07-01-47_part_30__0001498,13,12,-1
highquality_16k__BLR-2018-06-20-07-01-47_part_30__0001582,13,12,-1
highquality_16k__BLR-2018-06-20-07-01-47_part_30__0001678,11,10,-1
highquality_16k__BLR-2018-06-20-07-01-47_part_4__0000533,7,4,-3
highquality_16k__BLR-2018-06-20-07-01-47_part_4__0000683,2,2,0
highquality_16k__BLR-2018-06-20-07-01-47_part_6__0000374,18,14,-4
highquality_16k__BLR-2018-06-20-07-01-47_part_6__0001199,17,11,-6
highquality_16k__BLR-2018-06-20-07-01-47_part_7__0000449,14,11,-3
highquality_16k__BLR-2018-06-20-07-01-47_part_8__0000950,18,13,-5
highquality_16k__BLR-2018-06-20-07-01-47_part_8__0001100,24,17,-7
highquality_16k__BLR-2018-06-20-07-01-47_part_8__0001775,9,6,-3
highquality_16k__BLR-2018-06-22-05-05-26_part_11__0000734,6,6,0
highquality_16k__BLR-2018-06-22-05-05-26_part_17__0000525,17,15,-2
highquality_16k__BLR-2018-06-22-05-05-26_part_17__0000547,16,16,0
highquality_16k__BLR-2018-06-22-05-05-26_part_18__0000159,24,21,-3
highquality_16k__BLR-2018-06-22-05-05-26_part_18__0000700,14,13,-1
highquality_16k__BLR-2018-06-22-05-05-26_part_19__0000975,17,12,-5
highquality_16k__BLR-2018-06-22-05-05-26_part_20__0000155,12,11,-1
highquality_16k__BLR-2018-06-22-05-05-26_part_20__0000156,10,10,0
highquality_16k__BLR-2018-06-22-05-05-26_part_20__0001037,13,12,-1
highquality_16k__BLR-2018-06-22-05-05-26_part_24__0000018,19,9,-10
highquality_16k__BLR-2018-06-22-05-05-26_part_25__0001750,29,21,-8
highquality_16k__BLR-2018-06-22-05-05-26_part_26__0000825,20,16,-4
highquality_16k__BLR-2018-06-22-05-05-26_part_26__0001650,13,16,3
highquality_16k__BLR-2018-06-22-05-05-26_part_27__0000160,10,13,3
highquality_16k__BLR-2018-06-22-05-05-26_part_29__0000750,15,11,-4
highquality_16k__BLR-2018-06-22-05-05-26_part_2__0000674,12,13,1
highquality_16k__BLR-2018-06-22-05-05-26_part_2__0001649,1,11,10
highquality_16k__BLR-2018-06-22-05-05-26_part_31__0000750,28,24,-4
highquality_16k__BLR-2018-06-22-05-05-26_part_31__0001350,17,14,-3
highquality_16k__BLR-2018-06-22-05-05-26_part_31__0001500,16,12,-4
highquality_16k__BLR-2018-06-22-05-05-26_part_33__0000300,11,9,-2
highquality_16k__BLR-2018-06-22-05-05-26_part_33__0000675,17,9,-8
highquality_16k__BLR-2018-06-22-05-05-26_part_33__0000750,16,12,-4
highquality_16k__BLR-2018-06-22-05-05-26_part_39__0000075,11,8,-3
highquality_16k__BLR-2018-06-22-05-05-26_part_39__0001681,12,13,1
highquality_16k__BLR-2018-06-22-05-05-26_part_41__0000750,22,17,-5
highquality_16k__BLR-2018-06-22-05-05-26_part_41__0000900,7,6,-1
highquality_16k__BLR-2018-06-22-05-05-26_part_41__0001167,12,9,-3
highquality_16k__BLR-2018-06-22-05-05-26_part_42__0000827,17,9,-8
highquality_16k__BLR-2018-06-22-05-05-26_part_44__0000900,24,11,-13
highquality_16k__BLR-2018-06-29-10-07-38_part_10__0000060,15,9,-6
highquality_16k__BLR-2018-06-29-10-07-38_part_11__0000690,18,16,-2
highquality_16k__BLR-2018-06-29-10-07-38_part_11__0000825,16,17,1
highquality_16k__BLR-2018-06-29-10-07-38_part_11__0000915,18,17,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_13__0000870,1,1,0
highquality_16k__BLR-2018-06-29-10-07-38_part_15__0000375,20,15,-5
highquality_16k__BLR-2018-06-29-10-07-38_part_15__0000465,23,15,-8
highquality_16k__BLR-2018-06-29-10-07-38_part_15__0000780,23,22,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_17__0000240,14,11,-3
highquality_16k__BLR-2018-06-29-10-07-38_part_17__0000780,7,8,1
highquality_16k__BLR-2018-06-29-10-07-38_part_17__0001590,11,7,-4
highquality_16k__BLR-2018-06-29-10-07-38_part_18__0000195,8,6,-2
highquality_16k__BLR-2018-06-29-10-07-38_part_19__0001185,14,12,-2
highquality_16k__BLR-2018-06-29-10-07-38_part_1__0001770,9,10,1
highquality_16k__BLR-2018-06-29-10-07-38_part_20__0000195,7,6,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_24__0001410,24,16,-8
highquality_16k__BLR-2018-06-29-10-07-38_part_25__0000510,13,9,-4
highquality_16k__BLR-2018-06-29-10-07-38_part_25__0000645,14,5,-9
highquality_16k__BLR-2018-06-29-10-07-38_part_25__0001185,12,8,-4
highquality_16k__BLR-2018-06-29-10-07-38_part_26__0001365,24,18,-6
highquality_16k__BLR-2018-06-29-10-07-38_part_28__0001590,9,8,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_2__0001500,15,9,-6
highquality_16k__BLR-2018-06-29-10-07-38_part_31__0000330,11,9,-2
highquality_16k__BLR-2018-06-29-10-07-38_part_31__0001230,27,17,-10
highquality_16k__BLR-2018-06-29-10-07-38_part_32__0000240,12,11,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_34__0001680,23,25,2
highquality_16k__BLR-2018-06-29-10-07-38_part_35__0000780,15,13,-2
highquality_16k__BLR-2018-06-29-10-07-38_part_35__0001230,16,11,-5
highquality_16k__BLR-2018-06-29-10-07-38_part_35__0001500,15,8,-7
highquality_16k__BLR-2018-06-29-10-07-38_part_35__0001680,8,9,1
highquality_16k__BLR-2018-06-29-10-07-38_part_39__0000060,5,4,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_39__0001185,9,3,-6
highquality_16k__BLR-2018-06-29-10-07-38_part_39__0001365,5,5,0
highquality_16k__BLR-2018-06-29-10-07-38_part_3__0000150,14,9,-5
highquality_16k__BLR-2018-06-29-10-07-38_part_3__0000555,7,3,-4
highquality_16k__BLR-2018-06-29-10-07-38_part_40__0001455,3,0,-3
highquality_16k__BLR-2018-06-29-10-07-38_part_41__0001095,5,4,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_44__0000060,11,12,1
highquality_16k__BLR-2018-06-29-10-07-38_part_44__0000825,2,3,1
highquality_16k__BLR-2018-06-29-10-07-38_part_44__0001050,8,7,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_45__0001365,5,4,-1
highquality_16k__BLR-2018-06-29-10-07-38_part_47__0000240,7,3,-4
highquality_16k__BLR-2018-06-29-10-07-38_part_49__0001320,16,14,-2
highquality_16k__BLR-2018-06-29-10-07-38_part_49__0001410,16,8,-8
highquality_16k__BLR-2018-06-29-10-07-38_part_51__0001725,0,0,0
highquality_16k__BLR-2018-06-29-10-07-38_part_54__0000960,17,14,-3
highquality_16k__BLR-2018-06-29-10-07-38_part_56__0001320,13,14,1
highquality_16k__BLR-2018-06-29-10-07-38_part_59__0001050,12,9,-3
highquality_16k__BLR-2018-06-29-10-07-38_part_59__0001725,7,5,-2
highquality_16k__BLR-2018-06-29-10-07-38_part_60__0001635,18,12,-6
highquality_16k__HYD-2018-04-19_18-16-55__0003610,2,1,-1
highquality_16k__HYD-2018-04-26_13-20-01__0004094,23,20,-3
highquality_16k__HYD-2018-04-26_13-20-01__0006432,18,7,-11
highquality_16k__HYD-2018-04-26_13-20-01__0008372,22,18,-4
highquality_16k__HYD-2018-04-26_13-30-01__0007723,27,18,-9
highquality_16k__HYD-2018-04-26_13-30-01__0008623,19,14,-5
highquality_16k__HYD-2018-04-26_13-50-01__0001194,21,15,-6
highquality_16k__HYD-2018-04-26_13-50-01__0002244,26,31,5
highquality_16k__HYD-2018-06-11_13-14-41_frontNear_left__0004335,16,13,-3
highquality_16k__HYD-2018-06-11_13-14-41_frontNear_left__0008910,32,33,1
highquality_16k__HYD-2018-06-11_13-24-41__0000414,25,25,0
highquality_16k__HYD-2018-06-11_13-24-41__0001121,14,16,2
highquality_16k__HYD-2018-06-11_13-24-41__0001603,22,13,-9
highquality_16k__HYD-2018-06-11_13-24-41__0008742,6,5,-1
highquality_16k__HYD-2018-06-11_13-24-41_frontNear_left__0000660,13,11,-2
highquality_16k__HYD-2018-06-11_13-24-41_frontNear_left__0002685,16,15,-1
highquality_16k__HYD-2018-06-11_13-24-41_frontNear_left__0003585,11,11,0
highquality_16k__HYD-2018-06-11_13-24-41_frontNear_left__0004560,35,29,-6
highquality_16k__HYD-2018-06-11_13-24-41_frontNear_left__0006510,19,11,-8
highquality_16k__HYD-2018-06-11_13-34-41__0005874,6,5,-1
highquality_16k__HYD-2018-06-11_13-34-41_frontNear_left__0003735,18,15,-3
highquality_16k__HYD-2018-06-11_13-34-41_frontNear_left__0005310,18,18,0
highquality_16k__HYD-2018-06-11_13-34-41_frontNear_left__0005760,12,10,-2
highquality_16k__HYD-2018-06-11_13-44-41__0002915,12,14,2
highquality_16k__HYD-2018-06-11_13-44-41__0002930,14,16,2
highquality_16k__HYD-2018-06-11_13-44-41__0005199,25,14,-11
highquality_16k__HYD-2018-06-11_13-44-41__0006812,16,12,-4
highquality_16k__HYD-2018-06-11_13-44-41__0006892,10,11,1
highquality_16k__HYD-2018-06-11_13-44-41__0007004,11,9,-2
highquality_16k__HYD-2018-06-11_13-44-41__0007009,13,12,-1
highquality_16k__HYD-2018-06-11_13-44-41__0008485,14,8,-6
highquality_16k__HYD-2018-06-11_13-44-41_frontNear_left__0002235,21,17,-4
highquality_16k__HYD-2018-06-11_13-44-41_frontNear_left__0003585,12,11,-1
highquality_16k__HYD-2018-06-11_13-44-41_frontNear_left__0003885,22,19,-3
highquality_16k__HYD-2018-06-11_13-44-41_frontNear_left__0006510,12,12,0
highquality_16k__HYD-2018-06-11_13-44-41_frontNear_left__0006585,16,16,0
highquality_16k__HYD-2018-06-11_13-44-41_frontNear_left__0007410,18,18,0
highquality_16k__HYD-2018-06-11_13-54-41__0000355,13,9,-4
highquality_16k__HYD-2018-06-11_13-54-41__0000974,4,3,-1
highquality_16k__HYD-2018-06-11_13-54-41__0004646,3,3,0
highquality_16k__HYD-2018-06-11_13-54-41__0007451,8,12,4
highquality_16k__HYD-2018-06-11_13-54-41_frontNear_left__0002235,19,10,-9
highquality_16k__HYD-2018-06-11_13-54-41_frontNear_left__0007410,11,9,-2
highquality_16k__HYD-2018-06-11_13-54-41_frontNear_left__0008760,15,11,-4
highquality_16k__HYD-2018-06-11_14-04-41_frontNear_left__0002610,33,19,-14
highquality_16k__HYD-2018-06-11_14-04-41_frontNear_left__0007710,15,17,2
highquality_16k__HYD-2018-06-11_14-14-41_frontNear_left__0000060,21,16,-5
highquality_16k__HYD-2018-06-11_14-14-41_frontNear_left__0003660,8,8,0
highquality_16k__HYD-2018-06-11_14-14-41_frontNear_left__0004485,17,17,0
highquality_16k__HYD-2018-06-11_14-14-41_frontNear_left__0004560,21,20,-1
highquality_16k__HYD-2018-06-15_11-55-11_frontNear_left__0004935,10,12,2
highquality_16k__HYD-2018-06-15_11-55-11_frontNear_left__0006510,19,5,-14
highquality_16k__HYD-2018-06-15_11-55-11_frontNear_left__0007035,22,14,-8
highquality_16k__HYD-2018-06-15_11-55-11_frontNear_left__0007710,10,8,-2
highquality_16k__HYD-2018-06-15_12-45-11_frontNear_left__0002085,22,8,-14
highquality_16k__HYD-2018-06-15_12-45-11_frontNear_left__0002685,21,18,-3
highquality_16k__HYD-2018-06-15_12-45-11_frontNear_left__0003960,12,6,-6
highquality_16k__HYD-2018-06-15_12-45-11_frontNear_left__0004035,11,4,-7
highquality_16k__HYD-2018-06-15_12-45-11_frontNear_left__0004860,14,4,-10
highquality_16k__HYD-2018-06-15_12-45-11_frontNear_left__0008235,9,4,-5
highquality_16k__HYD-2018-07-24_18-03-48__0000472,15,13,-2
highquality_16k__HYD-2018-07-24_18-03-48__0000548,20,15,-5
highquality_16k__HYD-2018-07-24_18-03-48__0003053,43,20,-23
highquality_16k__HYD-2018-07-24_18-03-48__0003129,38,18,-20
highquality_16k__HYD-2018-08-05_12-52-17__0000494,14,11,-3
highquality_16k__HYD-2018-08-05_12-52-17__0001983,8,9,1
highquality_16k__HYD-2018-08-05_12-52-17__0002173,8,8,0
highquality_16k__HYD-2018-08-05_12-52-17__0002247,11,9,-2
highquality_16k__HYD-2018-08-05_12-52-17__0004149,11,8,-3
highquality_16k__HYD-2018-08-05_12-52-17__0004393,8,5,-3
highquality_16k__HYD-2018-08-05_12-52-17__0004400,7,4,-3
highquality_16k__HYD-2018-08-05_12-52-17__0004784,6,6,0
highquality_16k__HYD-2018-08-05_12-52-17__0005050,12,8,-4
highquality_16k__HYD-2018-08-05_12-52-17__0006000,5,4,-1
highquality_16k__HYD-2018-08-05_12-52-17__0008475,2,1,-1
highquality_16k__HYD-2018-08-05_12-52-17__0008618,2,3,1
highquality_16k__HYD-2018-08-05_12-52-17__0008798,19,4,-15
highquality_16k__HYD-2018-08-05_13-02-17__0000314,19,12,-7
highquality_16k__HYD-2018-08-05_13-02-17__0001977,9,5,-4
highquality_16k__HYD-2018-08-05_13-02-17__0001982,10,5,-5
highquality_16k__HYD-2018-08-05_13-02-17__0001983,8,4,-4
highquality_16k__HYD-2018-08-05_13-02-17__0001984,9,5,-4
highquality_16k__HYD-2018-08-05_13-02-17__0005418,9,7,-2
highquality_16k__HYD-2018-08-05_13-02-17__0006900,18,11,-7
highquality_16k__HYD-2018-08-05_13-02-17__0007791,8,8,0
highquality_16k__HYD-2018-08-24_12-52-50__0000569,24,15,-9
highquality_16k__HYD-2018-08-24_12-52-50__0002719,24,17,-7
highquality_16k__HYD-2018-08-24_12-52-50__0003507,12,9,-3
highquality_16k__HYD-2018-08-24_12-52-50__0003583,10,7,-3
highquality_16k__HYD-2018-08-24_12-52-50__0003697,9,10,1
highquality_16k__HYD-2018-08-24_12-52-50__0005065,12,10,-2
highquality_16k__HYD-2018-08-24_12-52-50__0005103,12,8,-4
highquality_16k__HYD-2018-08-24_12-52-50__0005331,13,4,-9
highquality_16k__HYD-2018-08-24_12-52-50__0005901,9,5,-4
highquality_16k__HYD-2018-08-24_12-52-50__0006813,18,12,-6
highquality_16k__HYD-2018-08-24_12-52-50__0007535,15,5,-10
highquality_16k__HYD-2018-08-24_12-52-50__0007687,20,12,-8
highquality_16k__HYD-2018-08-24_13-42-50__0000417,31,24,-7
highquality_16k__HYD-2018-08-24_13-42-50__0000949,26,20,-6
highquality_16k__HYD-2018-08-24_13-42-50__0005506,34,25,-9
highquality_16k__HYD-2018-08-24_13-42-50__0006067,19,21,2
highquality_16k__HYD-2018-08-24_13-42-50__0006858,28,19,-9
highquality_16k__HYD-2018-08-24_13-42-50__0007697,18,17,-1
rearNear__BLR-2018-05-07_12-01-06_rearNear__0002760,3,4,1
rearNear__BLR-2018-05-07_12-25-41_rearNear__000354_r,2,2,0
rearNear__BLR-2018-05-07_12-36-24_rearNear__000636_r,8,7,-1
rearNear__BLR-2018-05-08_10-22-55_rearNear__0000720,2,2,0
rearNear__BLR-2018-05-17_15-23-02_rearNear__0000360,8,9,1
rearNear__BLR-2018-05-17_15-23-02_rearNear__0001320,8,6,-2
rearNear__BLR-2018-05-17_15-23-02_rearNear__000276_r,6,6,0
rearNear__BLR-2018-05-17_16-22-00_rearNear__0003660,5,6,1
rearNear__BLR-2018-05-17_16-39-05_rearNear__000312_r,0,0,0
rearNear__BLR-2018-05-22_11-44-09_rearNear__0006450,6,3,-3
rearNear__BLR-2018-05-22_11-54-07_rearNear__000339_r,8,9,1
rearNear__BLR-2018-05-22_11-54-07_rearNear__000402_r,5,5,0
rearNear__BLR-2018-05-22_12-04-54_rearNear__000267_r,4,4,0
rearNear__BLR-2018-05-22_12-24-44_rearNear__000150_r,4,4,0
rearNear__BLR-2018-05-22_12-24-44_rearNear__000294_r,5,5,0
rearNear__BLR-2018-05-22_12-24-44_rearNear__000343_r,5,5,0
rearNear__BLR-2018-05-22_12-24-44_rearNear__000681_r,7,4,-3
rearNear__BLR-2018-05-22_12-24-44_rearNear__0006945,11,5,-6
rearNear__BLR-2018-05-22_13-21-45_rearNear__0001860,1,1,0
rearNear__BLR-2018-05-22_13-21-45_rearNear__000235_r,1,1,0
rearNear__BLR-2018-05-29_11-19-12_rearNear__000582_r,3,3,0
rearNear__BLR-2018-05-29_11-19-12_rearNear__0006585,3,3,0
rearNear__BLR-2018-05-29_11-19-12_rearNear__000658_r,3,3,0
rearNear__BLR-2018-05-29_11-19-12_rearNear__0007125,3,4,1
rearNear__BLR-2018-05-29_11-55-34_rearNear__000150_r,2,1,-1
rearNear__BLR-2018-06-05_08-28-17_rearNear__0000510,4,3,-1
rearNear__BLR-2018-06-05_08-28-17_rearNear__000375_r,3,4,1
rearNear__BLR-2018-06-05_08-39-44_rearNear__000312_r,8,7,-1
rearNear__BLR-2018-06-05_08-39-44_rearNear__000393_r,5,5,0
rearNear__BLR-2018-06-06_16-10-31_rearNear__0002040,4,4,0
sideLeft__BLR-2018-03-22_17-39-26_1_sideLeft__000144_r,4,4,0
sideLeft__BLR-2018-03-22_17-39-26_1_sideLeft__0007560,0,0,0
sideLeft__BLR-2018-03-22_17-39-26_1_sideLeft__000786_r,2,2,0
sideLeft__BLR-2018-03-22_17-39-26_2_sideLeft__000036_r,1,2,1
sideLeft__BLR-2018-03-22_17-39-26_2_sideLeft__0004680,0,0,0
sideLeft__BLR-2018-03-22_17-39-26_2_sideLeft__000732_r,1,1,0
sideLeft__BLR-2018-03-22_17-39-26_3_sideLeft__0000060,0,0,0
sideLeft__BLR-2018-03-22_17-39-26_3_sideLeft__000018_r,0,1,1
sideLeft__BLR-2018-03-22_17-39-26_3_sideLeft__0001020,1,2,1
sideLeft__BLR-2018-03-22_17-39-26_3_sideLeft__000144_r,0,0,0
sideLeft__BLR-2018-03-22_17-39-26_3_sideLeft__000246_r,4,1,-3
sideLeft__BLR-2018-03-22_17-39-26_3_sideLeft__000300_r,2,3,1
sideLeft__BLR-2018-04-16_15-24-27_sideLeft__000036_r,1,1,0
sideLeft__BLR-2018-04-16_15-24-27_sideLeft__0005880,1,1,0
sideLeft__BLR-2018-04-16_15-24-27_sideLeft__0006660,4,2,-2
sideLeft__BLR-2018-04-16_15-24-27_sideLeft__000762_r,0,0,0
sideLeft__BLR-2018-04-16_15-24-27_sideLeft__000828_r,1,2,1
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__000096_r,0,0,0
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__000204_r,1,3,2
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__0002580,6,5,-1
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__000510_r,0,0,0
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__000654_r,0,1,1
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__0007320,0,0,0
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__0007440,4,4,0
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__0007980,5,3,-2
sideLeft__BLR-2018-04-16_15-34-27_sideLeft__0008460,5,4,-1
sideLeft__BLR-2018-04-16_15-44-27_sideLeft__0002040,1,1,0
sideLeft__BLR-2018-04-16_15-44-27_sideLeft__000786_r,5,1,-4
sideLeft__BLR-2018-04-16_16-04-27_sideLeft__0002520,0,0,0
sideLeft__BLR-2018-04-16_16-04-27_sideLeft__000276_r,2,2,0
sideLeft__BLR-2018-04-16_16-04-27_sideLeft__000360_r,0,0,0
sideLeft__BLR-2018-04-16_16-14-27_sideLeft__0005580,1,0,-1
sideLeft__BLR-2018-04-16_16-14-27_sideLeft__000564_r,0,0,0
sideLeft__BLR-2018-04-16_16-14-27_sideLeft__000678_r,3,4,1
sideLeft__BLR-2018-04-16_16-14-27_sideLeft__000798_r,0,1,1
sideLeft__BLR-2018-04-19_17-16-55_sideLeft__0001320,0,0,0
sideLeft__BLR-2018-04-19_17-16-55_sideLeft__0006900,0,0,0
sideLeft__BLR-2018-04-19_17-16-55_sideLeft__0008700,0,0,0
sideLeft__BLR-2018-04-19_17-36-55_sideLeft__000024_r,1,1,0
sideLeft__BLR-2018-04-19_17-36-55_sideLeft__000264_r,0,0,0
sideLeft__BLR-2018-04-19_17-36-55_sideLeft__0004380,0,0,0
sideLeft__BLR-2018-04-19_17-56-55_sideLeft__000648_r,0,0,0
sideLeft__BLR-2018-04-19_17-56-55_sideLeft__0007080,0,0,0
sideLeft__BLR-2018-04-19_17-56-55_sideLeft__000822_r,3,1,-2
sideLeft__BLR-2018-04-19_17-56-55_sideLeft__000882_r,0,0,0
sideLeft__BLR-2018-04-19_18-06-55_sideLeft__000012_r,0,0,0
sideLeft__BLR-2018-04-19_18-06-55_sideLeft__0005100,0,0,0
sideLeft__BLR-2018-04-19_18-06-55_sideLeft__000612_r,2,4,2
sideLeft__BLR-2018-04-19_18-06-55_sideLeft__000624_r,5,8,3
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__0000060,0,1,1
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__0001500,6,6,0
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__000150_r,5,4,-1
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__0004020,1,1,0
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__0004620,4,4,0
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__0004920,5,5,0
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__000582_r,3,4,1
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__0005880,2,2,0
sideLeft__BLR-2018-04-26_12-40-01_sideLeft__000672_r,5,6,1
